Date,next_variance_percent_squared,downside_5d_forecast,monte_carlo_se,historical_downside_5d
2025-07-28,0.21911503115531938,5.000991305658679e-05,6.261603955890738e-07,2.1788957110037833e-05
2025-07-29,0.2307912824372216,5.326551888379465e-05,7.05262485822213e-07,2.3528271906801053e-05
2025-07-30,0.22755529166810556,5.3325620170375986e-05,7.156373392351305e-07,2.3898560988876728e-05
2025-07-31,0.2547149093494569,5.700340324772512e-05,7.04478874756084e-07,2.741636911560391e-05
2025-08-01,0.8035812181224811,0.0001794751861387832,2.158503818250123e-06,9.457781656582029e-05
2025-08-04,0.7306840018668439,0.0001641834100487617,2.0724714070722716e-06,8.069484518772773e-05
2025-08-05,0.7281925285425794,0.00016376483097915563,2.0894662060994583e-06,8.704615506235677e-05
2025-08-06,0.6635866609455902,0.00015236842908006507,1.971508003380731e-06,8.704615506235677e-05
2025-08-07,0.6100597464247655,0.00013788022462469152,1.8236672934988258e-06,8.722160460760753e-05
2025-08-08,0.5584462798101115,0.00012632552798077032,1.6062003972594013e-06,8.413190707739201e-05
2025-08-11,0.5253530012573417,0.00011851759763366801,1.4348290082851763e-06,8.510963054507015e-05
2025-08-12,0.48305569548639066,0.00011117713554138656,1.4725969663975504e-06,8.054433390978038e-05
2025-08-13,0.4454103038344229,0.0001049059211812636,3.37417148198331e-06,8.054433390978038e-05
2025-08-14,0.4123878190370526,9.18292060729452e-05,1.1617698601739513e-06,8.054433390978038e-05
2025-08-15,0.39925194773655714,9.21430215955502e-05,1.2139630090893504e-06,8.178059332744488e-05
2025-08-18,0.3720960696561361,8.436988543876909e-05,1.1103836231019713e-06,8.179243257880504e-05
2025-08-19,0.4171167809738983,9.491571169732847e-05,1.2443071886447794e-06,8.915062167440321e-05
2025-08-20,0.40726138658574695,9.166826831570119e-05,1.1956846558547648e-06,9.091564127540454e-05
2025-08-21,0.41919556786369944,9.698028018466835e-05,1.3110009913830231e-06,9.493929575450657e-05
2025-08-22,0.3885735982456736,8.904733939040811e-05,1.181633334339092e-06,9.493929575450657e-05
2025-08-25,0.4098350604182345,9.522078822518129e-05,1.3246460931348405e-06,9.976599161936621e-05
2025-08-26,0.3802425718972366,8.70722355919961e-05,1.1195485563665203e-06,9.802667682260301e-05
2025-08-27,0.35390470474413743,8.233953639927923e-05,1.1248927933159363e-06,9.76301738616609e-05
2025-08-28,0.33046351135879287,7.683286587050767e-05,1.0547543023819255e-06,9.411236573493372e-05
2025-08-29,0.3932427270009995,8.89931985299412e-05,1.1425151925197904e-06,3.5842450556473756e-05
2025-09-02,0.4901083637405898,0.00011173574845032534,1.5165281288607784e-06,4.957041175779668e-05
2025-09-03,0.45168731022481734,0.00010162322615905923,1.3101373357652254e-06,4.314412562178415e-05
2025-09-04,0.4174918554335619,9.442275108329008e-05,1.2077182562861343e-06,4.314412562178415e-05
2025-09-05,0.41073177270137207,9.255931793326173e-05,1.2541417798746225e-06,4.506579882319566e-05
2025-09-08,0.38104066256714,8.673204512062192e-05,1.1142291915275387e-06,4.506579882319566e-05
2025-09-09,0.35461502033740455,8.122131215344121e-05,1.0501018770822514e-06,4.408807535551751e-05
2025-09-10,0.33109570549545597,7.575591852628083e-05,1.019406205250613e-06,4.408807535551751e-05
2025-09-11,0.3101630762777538,7.161384790532498e-05,9.353165945229564e-07,4.408807535551751e-05
2025-09-12,0.29320000268815627,6.688653616725508e-05,8.609987671339215e-07,4.411605403471713e-05
2025-09-15,0.2764351934231648,6.575079710460685e-05,8.793637450239413e-07,4.274575210214867e-05
2025-09-16,0.2690527316200673,6.216574517978962e-05,7.76759077273894e-07,4.320786589441699e-05
2025-09-17,0.26148607442558275,5.988603916448192e-05,8.280575797552993e-07,3.6235485594793835e-05
2025-09-18,0.24820920530155435,5.900809400873662e-05,1.0931774534298748e-06,3.447046599379252e-05
2025-09-19,0.2363925439569155,5.5347433292825634e-05,7.504572583856428e-07,3.044681151469048e-05
2025-09-22,0.2258754947919754,5.268399669196062e-05,6.554447502713702e-07,3.044681151469048e-05
2025-09-23,0.28740862585986765,6.54542505318894e-05,8.542088763570942e-07,3.301245110141996e-05
2025-09-24,0.2989872704652458,6.928086552062593e-05,9.04145282265861e-07,3.554305077565172e-05
2025-09-25,0.3343168810637987,7.783005465094626e-05,1.2843047277584253e-06,4.0864071517852215e-05
2025-09-26,0.3130299826596088,7.038072963134276e-05,9.345682088777468e-07,4.0864071517852215e-05
2025-09-29,0.2940842457414969,6.728578274431422e-05,8.143306465496067e-07,3.197253924609581e-05
2025-09-30,0.27722218624579986,6.476249427526034e-05,9.352901568944025e-07,1.8244578044772886e-05
2025-10-01,0.26221463854969457,5.99093389439605e-05,7.642509928321559e-07,1.8244578044772886e-05
2025-10-02,0.24885764097129381,5.881786669995211e-05,8.181066904592895e-07,1.8244578044772886e-05
2025-10-03,0.23768371634918198,5.518695083950735e-05,7.638076568403641e-07,1.614750941949378e-05
2025-10-06,0.2270246623219428,5.324286342906579e-05,7.154944034414905e-07,1.614750941949378e-05
2025-10-07,0.25350683962074994,5.734329776439236e-05,8.364820452059102e-07,1.9583754368395355e-05
2025-10-08,0.24110753738592933,5.605805851029764e-05,7.141859878102072e-07,1.9583754368395355e-05
2025-10-09,0.2537557465543218,5.8618070617369876e-05,7.89042763694442e-07,2.1681870007620835e-05
2025-10-10,1.7263641998886303,0.00039565517275833955,4.887092625468322e-06,0.00020428022481809032
2025-10-13,1.5519780801817562,0.0003628411647179346,4.5229446568859725e-06,0.00020428022481809032
2025-10-14,1.4031672010358895,0.000325575617917991,4.111374500811346e-06,0.0002041793766874888
2025-10-15,1.2643267184511007,0.0002908340623820074,3.7120358413162466e-06,0.00020379356789151378
2025-10-16,1.2473972163813114,0.0002901196056528593,3.5292133665964073e-06,0.00021538836611615037
2025-10-17,1.125688524526941,0.0002527782618589625,2.9905013809891718e-06,0.00021538836611615037
2025-10-20,1.0173655169784768,0.0002313274191981934,2.904412155456067e-06,0.00021538836611615037
2025-10-21,0.9216706119811411,0.00021167250675606386,2.8528969653028746e-06,0.0002079803275756817
2025-10-22,0.9010495896925452,0.00021006467369944534,2.846233745068521e-06,0.00021220714827510932
2025-10-23,0.8174326718957169,0.00018436234558795133,2.4098935091811e-06,0.00020688612753290883
2025-10-24,0.7430120542743971,0.00017000824378665588,2.2943560470831425e-06,0.00020688612753290883
2025-10-27,0.6767763154661822,0.00015569333703783274,2.3921111300338096e-06,0.00020688612753290883
2025-10-28,0.617825271579478,0.00014314289198413355,1.8844639544532804e-06,0.00020688612753290883
2025-10-29,0.565381567958616,0.00012939969352847687,1.7367236054164954e-06,0.00020688612753290883
2025-10-30,0.7801469824498786,0.00018018433366955198,2.645688047631395e-06,0.00023712517841240484
2025-10-31,0.709827094697936,0.00016008599566977517,1.9449396053451115e-06,0.0002371251242910217
2025-11-03,0.6472410820171393,0.00014802828296975787,1.9499926460545144e-06,0.0002371251242910217
2025-11-04,0.8930375312208387,0.00021174927134519957,3.0980175374818493e-06,0.00026881605935669155
2025-11-05,0.8103017903038922,0.00018259989136058623,2.390233034653813e-06,0.00026881605935669155
2025-11-06,0.9861448924733125,0.00022317092300230866,2.8693573907967503e-06,0.00029549726873490714
2025-11-07,0.8931690797480777,0.00020630792426570098,2.777632595155945e-06,0.000112870935245238
2025-11-10,0.810418870948602,0.00018458523096936933,2.334128392036116e-06,0.000112870935245238
2025-11-11,0.7367696405127996,0.00016902680979791475,2.341754152535522e-06,0.00011249783033221106
2025-11-12,0.671222782378347,0.00015283670388862122,1.9914176728341003e-06,0.00011249783033221106
2025-11-13,1.1878161895545727,0.00027338327721632984,3.500650677438707e-06,0.00016974246418854396
2025-11-14,1.073769252976739,0.00024576984496762176,3.0868309911369454e-06,0.00016974917379486673
2025-11-17,1.1622449914589437,0.000265771024965262,3.162845946022662e-06,0.00019144775655232954
2025-11-18,1.2071905984474496,0.0002820754014307731,3.7669412786272807e-06,0.0002090774262703931
2025-11-19,1.0899038840744806,0.0002587731462425389,4.770356213522595e-06,0.0002023200058967337
2025-11-20,1.4735637980190492,0.0003431882778822966,4.455237174645332e-06,0.0002604013792898266
2025-11-21,1.326981003779525,0.0003041535295763015,3.8071829547105352e-06,0.0002604013792898266
2025-11-24,1.196519580811624,0.00027325968519902527,3.3424031519635432e-06,0.0002604013792898266
2025-11-25,1.0804064791948158,0.00025209753303337916,4.513280857274832e-06,0.0002604013792898266
2025-11-26,0.9770636514043168,0.0002215341225711094,2.7970627256033137e-06,0.0002604013792898266
2025-11-28,0.885086605687447,0.00020725927774610593,2.689129659409392e-06,0.00023016232841033062
2025-12-01,0.8549880945686155,0.00020212802228499727,2.8207447819543525e-06,0.0002353732081780344
2025-12-02,0.7764370814577459,0.00017876256708256773,2.278961385300538e-06,0.0002353732081780344
2025-12-03,0.7065252135664251,0.0001631111576965767,2.2768812089567324e-06,0.000200246028163463
2025-12-04,0.6443023461776253,0.000147307402124874,1.831232852273308e-06,0.000200246028163463
2025-12-05,0.5889228327579187,0.0001345844277272392,1.6899520377390855e-06,0.00017146670314602193
2025-12-08,0.5647965491138897,0.0001291721739670036,1.8124806678202623e-06,0.00017372302123387385
2025-12-09,0.5222766506660751,0.00011742985737086892,1.5646431597287645e-06,0.0001739092255978177
2025-12-10,0.4803176860374169,0.0001095069252336983,1.3965579547018604e-06,0.0001739092255978177
2025-12-11,0.4429734243175201,0.00010417810671543212,1.4937117240209107e-06,0.0001739092255978177
2025-12-12,0.6602179243904029,0.00015119959674315188,2.0073896105459634e-06,0.0001339710957488355
2025-12-15,0.6116875535163601,0.00014069384686849694,1.8880507530470454e-06,0.0001345350216583457
2025-12-16,0.5813962597516367,0.00013408074936070426,1.6617702144761855e-06,0.00011470290759914607
2025-12-17,0.7946524275211444,0.00018228618869271763,2.273167411584598e-06,0.00012734295219655632
